Target,Model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,macro_roc_auc,macro_pr_auc,weighted_roc_auc,weighted_pr_auc,Setting
depression,Transformer,0.8095,0.7433,0.7804,0.725,0.7992,0.8016,0.8095,0.8096,0.6331,0.8096,0.6331,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_Transformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,LightTS,0.8016,0.7505,0.7581,0.7444,0.7989,0.7972,0.8016,0.7688,0.6018,0.7688,0.6018,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_LightTS_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,Crossformer,0.7857,0.6774,0.7768,0.6583,0.7575,0.7821,0.7857,0.7142,0.5629,0.7142,0.5629,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_Crossformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,FiLM,0.7857,0.7255,0.7384,0.7167,0.7806,0.7783,0.7857,0.7843,0.5266,0.7843,0.5266,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_FiLM_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,TimesNet,0.7857,0.7143,0.7424,0.7,0.7755,0.7749,0.7857,0.7938,0.6123,0.7938,0.6123,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_TimesNet_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,Pyraformer,0.7698,0.6994,0.7176,0.6889,0.7618,0.7591,0.7698,0.7769,0.5059,0.7769,0.5059,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_Pyraformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,iTransformer,0.7619,0.6858,0.7066,0.675,0.7521,0.7493,0.7619,0.7127,0.5001,0.7127,0.5001,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_iTransformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm2048_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,TimesNet,0.7619,0.6719,0.7096,0.6583,0.7455,0.7458,0.7619,0.7148,0.5002,0.7148,0.5002,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_TimesNet_Mental_ftwobg_clip_sl256_ll48_pl0_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,Reformer,0.754,0.6849,0.6956,0.6778,0.7481,0.7448,0.754,0.7812,0.5705,0.7812,0.5705,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_Reformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,Autoformer,0.7302,0.4732,0.8629,0.5278,0.6309,0.8041,0.7302,0.5287,0.3485,0.5287,0.3485,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_Autoformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,FEDformer,0.7143,0.4167,0.3571,0.5,0.5952,0.5102,0.7143,0.5858,0.3578,0.5858,0.3578,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_FEDformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
depression,PatchTST,0.7143,0.5044,0.6144,0.5333,0.6426,0.6634,0.7143,0.6028,0.3769,0.6028,0.3769,classification_dep_cls_wobg_clip_seq256_enc64_lr0.0002_PatchTST_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,DLinear,0.8333,0.8295,0.8349,0.8268,0.8323,0.834,0.8333,0.8857,0.9074,0.8857,0.9074,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_DLinear_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Pyraformer,0.8333,0.8315,0.831,0.8321,0.8335,0.8337,0.8333,0.8773,0.8818,0.8773,0.8818,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Pyraformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Transformer,0.8333,0.8276,0.8412,0.8232,0.8311,0.8378,0.8333,0.8857,0.9047,0.8857,0.9047,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Transformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
